ID,Poet,Poetry
280,fahmida-riaz,"char-su hai baDi vahshat ka saman 
kisi aaseb ka saaya hai yahan 
koi avaz si hai marsiyan-khvan 
shahr ka shahr bana goristan 
ek makhluq jo basti hai yahan 
jis pe insan ka guzarta hai guman 
khud to sakit hai misal-e-tasvir 
jumbish-e-ghair se hai raqs-kunan 
koi chehra nahin juz zer-e-naqab 
na koi jism hai juz be-dil-o-jan 
ulma hain dushman-e-fahm-o-tahaqiq 
kodani sheva-e-danish-mandan 
sha.ir-e-qaum pe ban aa.i hai 
kizb kaise ho tasavvuf men nihan 
lab hain masruf-e-qasida-goi 
aur ankhon men hai zillat uryan 
sabz khat aqibat-o-din ke asiir 
parsa khush-tan-o-nau-khez javan 
ye zan-e-naghma-gar-o-ishq-shi.ar 
yas-o-hasrat se hui hai hairan 
kis se ab arzu-e-vasl karen 
is kharabe men koi mard kahan"
281,fahmida-riaz,"jo mujh men chhupa mera gala ghonT raha hai 
ya vo koi iblis hai ya mera khuda hai 
jab sar men nahin ishq to chehre pe chamak hai 
ye nakhl khizan aa.i to shadab hua hai 
kya mera ziyan hai jo muqabil tire aa ja.un 
ye amr to ma.alum ki tu mujh se baDa hai 
main banda-o-nachar ki sairab na ho pa.un 
ai zahir-o-maujud mira jism dua hai 
haan us ke ta.aqub se mire dil men hai inkar 
vo shakhs kisi ko na milega na mila hai 
kyuun nur-e-abad dil men guzar kar nahin paata 
siine ki siyahi se naya harf likha hai"
282,fahmida-riaz,"kabhi dhanak si utarti thi un nigahon men 
vo shokh rang bhi dhime paDe havaon men 
main tez-gam chali ja rahi thi us ki samt 
kashish ajiib thi us dasht ki sadaon men 
vo ik sada jo fareb-e-sada se bhi kam hai 
na Duub jaa.e kahin tund-rau havaon men 
sukut-e-sham hai aur main huun gosh-bar-avaz 
ki ek va.ade ka afsun sa hai fazaon men 
miri tarah yunhi gum-karda-rah chhoDegi 
tum apni baanh na dena hava ki banhon men 
nuqush paanv ke likhte hain manzil-e-na-yaft 
mira safar to hai tahrir meri rahon men"
283,fahmida-riaz,"patthar se visal mangti huun 
main adamiyon se kaT ga.i huun 
shayad pa.un suragh-e-ulfat 
muTThi men khak-bhar rahi huun 
har lams hai jab tapish se aari 
kisi aanch se yuun pighal rahi huun 
vo khvahish-e-bosa bhi nahin ab 
hairat se honT kaTti huun 
ik tiflak-e-justuju huun shayad 
main apne badan se khelti huun 
ab tab.a kisi pe kyuun ho raghib 
insanon ko barat chuki huun"
284,fahmida-riaz,"ye kis ke ansuon ne us naqsh ko miTaya 
jo mere lauh-e-dil par tu ne kabhi banaya 
tha dil jab us pe maa.il tha shauq sakht mushkil 
targhib ne use bhi asan kar dikhaya 
ik gard-bad men tu ojhal hua nazar se 
is dasht-e-be-samar se juz khaak kuchh na paaya 
ai chob-e-khushk-e-sahra vo bad-e-shauq kya thi 
meri tarah barahna jis ne tujhe banaya 
phir ham hain nim-shab hai andesha-e-abas hai 
vo vahima ki jis se tera yaqin aaya"
285,fahmida-riaz,"ye pairahan jo miri ruuh ka utar na saka 
to nakh-ba-nakh kahin paivast resha-e-dil tha 
mujhe ma.al-e-safar ka malal kyun-kar ho 
ki jab safar hi mira faslon ka dhoka tha 
main jab firaq ki raton men us ke saath rahi 
vo phir visal ke lamhon men kyuun akela tha 
vo vaste ki tira darmiyan bhi kyuun aa.e 
khuda ke saath mira jism kyuun na ho tanha 
sarab huun main tiri pyaas kya bujha.ungi 
is ishtiyaq se tishna zaban qarib na la 
sarab huun ki badan ki yahi shahadat hai 
har ek uzv men bahta hai ret ka dariya 
jo mere lab pe hai shayad vahi sadaqat hai 
jo mere dil men hai us harf-e-ra.egan pe na ja 
jise main toD chuki huun vo raushni ka tilism 
shua-e-nur-e-azal ke siva kuchh aur na tha"
286,faiz-ahmad-faiz,"aa.e kuchh abr kuchh sharab aa.e 
is ke ba.ad aa.e jo azaab aa.e 
bam-e-mina se mahtab utre 
dast-e-saqi men aftab aa.e 
har rag-e-khun men phir charaghan ho 
samne phir vo be-naqab aa.e 
umr ke har varaq pe dil ki nazar 
teri mehr-o-vafa ke baab aa.e 
kar raha tha gham-e-jahan ka hisab 
aaj tum yaad be-hisab aa.e 
na ga.i tere gham ki sardari 
dil men yuun roz inqalab aa.e 
jal uThe bazm-e-ghair ke dar-o-bam 
jab bhi ham khanuman-kharab aa.e 
is tarah apni khamushi gunji 
goya har samt se javab aa.e 
'faiz' thi raah sar-ba-sar manzil 
ham jahan pahunche kamyab aa.e"
287,faiz-ahmad-faiz,"aaj yuun mauj-dar-mauj gham tham gaya is tarah gham-zadon ko qarar aa gaya 
jaise khush-bu-e-zulf-e-bahar aa ga.i jaise paigham-e-didar-e-yar aa gaya 
jis ki did-o-talab vahm samjhe the ham ru-ba-ru phir sar-e-rahguzar aa gaya 
sub.h-e-farda ko phir dil tarasne laga umr-e-rafta tira e'tibar aa gaya 
rut badalne lagi rang-e-dil dekhna rang-e-gulshan se ab haal khulta nahin 
zakhm chhalka koi ya koi gul khila ashk umDe ki abr-e-bahar aa gaya 
khun-e-ushshaq se jaam bharne lage dil sulagne lage daagh jalne lage 
mahfil-e-dard phir rang par aa ga.i phir shab-e-arzu par nikhar aa gaya 
sarfaroshi ke andaz badle ga.e davat-e-qatl par maqtal-e-shahr men 
Daal kar koi gardan men tauq aa gaya laad kar koi kandhe pe daar aa gaya 
'faiz' kya janiye yaar kis aas par muntazir hain ki la.ega koi khabar 
mai-kashon par hua mohtasib mehrban dil-figaron pe qatil ko pyaar aa gaya"
288,faiz-ahmad-faiz,"'aap ki yaad aati rahi raat bhar'' 
chandni dil dukhati rahi raat bhar 
gaah jalti hui gaah bujhti hui 
sham-e-gham jhilmilati rahi raat bhar 
koi khushbu badalti rahi pairahan 
koi tasvir gaati rahi raat bhar 
phir saba saya-e-shakh-e-gul ke tale 
koi qissa sunati rahi raat bhar 
jo na aaya use koi zanjir-e-dar 
har sada par bulati rahi raat bhar 
ek ummid se dil bahalta raha 
ik tamanna satati rahi raat bhar"
289,faiz-ahmad-faiz,"ab jo koi puchhe bhi to us se kya sharh-e-halat karen 
dil Thahre to dard suna.en dard thame to baat karen 
shaam hui phir josh-e-qadah ne bazm-e-harifan raushan ki 
ghar ko aag laga.en ham bhi raushan apni raat karen 
qatl-e-dil-o-jan apne sar hai apna lahu apni gardan pe 
mohr-ba-lab baiThe hain kis ka shikva kis ke saath karen 
hijr men shab bhar dard-o-talab ke chand sitare saath rahe 
sub.h ki virani men yaaro kaise basar auqat karen"
290,faiz-ahmad-faiz,"ab ke baras dastur-e-sitam men kya kya baab izad hue 
jo qatil the maqtul hue jo said the ab sayyad hue 
pahle bhi khizan men baagh ujDe par yuun nahin jaise ab ke baras 
saare buuTe patta patta ravish ravish barbad hue 
pahle bhi tavaf-e-sham-e-vafa thi rasm mohabbat valon ki 
ham tum se pahle bhi yahan 'mansur' hue 'farhad' hue 
ik gul ke murjhane par kya gulshan men kohram macha 
ik chehra kumhla jaane se kitne dil nashad hue 
'faiz' na ham 'yusuf' na koi 'yaqub' jo ham ko yaad kare 
apni kya kan.an men rahe ya misr men ja abad hue"
291,faiz-ahmad-faiz,"ab vahi harf-e-junun sab ki zaban Thahri hai 
jo bhi chal nikli hai vo baat kahan Thahri hai 
aaj tak shaikh ke ikram men jo shai thi haram 
ab vahi dushman-e-din rahat-e-jan Thahri hai 
hai khabar garm ki phirta hai gurezan naseh 
guftugu aaj sar-e-ku-e-butan Thahri hai 
hai vahi ariz-e-laila vahi shirin ka dahan 
nigah-e-shauq ghaDi bhar ko jahan Thahri hai 
vasl ki shab thi to kis darja subuk guzri thi 
hijr ki shab hai to kya sakht giran Thahri hai 
bikhri ik baar to haath aa.i hai kab mauj-e-shamim 
dil se nikli hai to kab lab pe fughan Thahri hai 
dast-e-sayyad bhi aajiz hai kaf-e-gul-chin bhi 
bu-e-gul Thahri na bulbul ki zaban Thahri hai 
aate aate yunhi dam bhar ko ruki hogi bahar 
jaate jaate yunhi pal bhar ko khizan Thahri hai 
ham ne jo tarz-e-fughan ki hai qafas men ijad 
'faiz' gulshan men vahi tarz-e-bayan Thahri hai"
292,faiz-ahmad-faiz,"baat bas se nikal chali hai 
dil ki halat sambhal chali hai 
ab junun had se baDh chala hai 
ab tabi.at bahal chali hai 
ashk khunab ho chale hain 
gham ki rangat badal chali hai 
ya yunhi bujh rahi hain sham.en 
ya shab-e-hijr Tal chali hai 
laakh paigham ho ga.e hain 
jab saba ek pal chali hai 
jaao ab so raho sitaro 
dard ki raat Dhal chali hai"
293,faiz-ahmad-faiz,"chand nikle kisi janib tiri zeba.i ka 
rang badle kisi surat shab-e-tanha.i ka 
daulat-e-lab se phir ai khusrav-e-shirin-dahanan 
aaj arzan ho koi harf shanasa.i ka 
garmi-e-rashk se har anjuman-e-gul-badanan 
tazkira chheDe tiri pairahan-ara.i ka 
sehn-e-gulshan men kabhi ai shah-e-shamshad-qadan 
phir nazar aa.e saliqa tiri ra.ana.i ka 
ek baar aur masiha-e-dil-e-dil-zadagan 
koi va.ada koi iqrar masiha.i ka 
diida o dil ko sambhalo ki sar-e-sham-e-firaq 
saz-o-saman baham pahuncha hai rusva.i ka"
294,faiz-ahmad-faiz,"chashm-e-maigun zara idhar kar de 
dast-e-qudrat ko be-asar kar de 
tez hai aaj dard-e-dil saaqi 
talkhi-e-mai ko tez-tar kar de 
josh-e-vahshat hai tishna-kam abhi 
chak-e-daman ko ta jigar kar de 
meri qismat se khelne vaale 
mujh ko qismat se be-khabar kar de 
luT rahi hai miri mata-e-niyaz 
kaash vo is taraf nazar kar de 
'faiz' takmil-e-arzu malum 
ho sake to yunhi basar kar de"
295,faiz-ahmad-faiz,"darbar men ab satvat-e-shahi ki alamat 
darban ka asa hai ki musannif ka qalam hai 
avara hai phir koh-e-nida par jo basharat 
tamhid-e-masarrat hai ki tul-e-shab-e-gham hai 
jis dhajji ko galiyon men liye phirte hain tiflan 
ye mera gareban hai ki lashkar ka alam hai 
jis nuur se hai shahr ki divar darakhshan 
ye khun-e-shahidan hai ki zar-khana-e-jam hai 
halqa kiye baiThe raho ik sham.a ko yaaro 
kuchh raushni baaqi to hai har-chand ki kam hai"
296,faiz-ahmad-faiz,"dil men ab yuun tire bhule hue gham aate hain 
jaise bichhDe hue kaabe men sanam aate hain 
ek ik kar ke hue jaate hain taare raushan 
meri manzil ki taraf tere qadam aate hain 
raqs-e-mai tez karo saaz ki lai tez karo 
su-e-mai-khana safiran-e-haram aate hain 
kuchh hamin ko nahin ehsan uThane ka dimagh 
vo to jab aate hain ma.il-ba-karam aate hain 
aur kuchh der na guzre shab-e-furqat se kaho 
dil bhi kam dukhta hai vo yaad bhi kam aate hain"
297,faiz-ahmad-faiz,"donon jahan teri mohabbat men haar ke 
vo ja raha hai koi shab-e-gham guzar ke 
viran hai mai-kada khum-o-saghar udaas hain 
tum kya ga.e ki ruuTh ga.e din bahar ke 
ik fursat-e-gunah mili vo bhi chaar din 
dekhe hain ham ne hausle parvardigar ke 
duniya ne teri yaad se begana kar diya 
tujh se bhi dil-fareb hain gham rozgar ke 
bhule se muskura to diye the vo aaj 'faiz' 
mat puchh valvale dil-e-na-karda-kar ke"
298,faiz-ahmad-faiz,"garmi-e-shauq-e-nazara ka asar to dekho 
gul khile jaate hain vo saya-e-tar to dekho 
aise nadan bhi na the jaan se guzarne vaale 
naseho pand-garo rahguzar to dekho 
vo to vo hai tumhen ho ja.egi ulfat mujh se 
ik nazar tum mire mahbub-e-nazar to dekho 
vo jo ab chaak gareban bhi nahin karte hain 
dekhne vaalo kabhi un ka jigar to dekho 
daman-e-dard ko gulzar bana rakkha hai 
aao ik din dil-e-pur-khun ka hunar to dekho 
sub.h ki tarah jhamakta hai shab-e-gham ka ufuq 
'faiz' tabindagi-e-dida-e-tar to dekho"
299,faiz-ahmad-faiz,"go sab ko baham saghar o baada to nahin tha 
ye shahr udaas itna ziyada to nahin tha 
galiyon men phira karte the do chaar divane 
har shakhs ka sad chaak labada to nahin tha 
manzil ko na pahchane rah-e-ishq ka raahi 
nadan hi sahi aisa bhi saada to nahin tha 
thak kar yunhi pal bhar ke liye aankh lagi thi 
so kar hi na uTThen ye irada to nahin tha 
vaa.iz se rah-o-rasm rahi rind se sohbat 
farq in men koi itna ziyada to nahin tha"
300,faiz-ahmad-faiz,"gulon men rang bhare bad-e-nau-bahar chale 
chale bhi aao ki gulshan ka karobar chale 
qafas udaas hai yaaro saba se kuchh to kaho 
kahin to bahr-e-khuda aaj zikr-e-yar chale 
kabhi to sub.h tire kunj-e-lab se ho aghaz 
kabhi to shab sar-e-kakul se mushk-bar chale 
baDa hai dard ka rishta ye dil gharib sahi 
tumhare naam pe a.enge gham-gusar chale 
jo ham pe guzri so guzri magar shab-e-hijran 
hamare ashk tiri aqibat sanvar chale 
huzur-e-yar hui daftar-e-junun ki talab 
girah men le ke gareban ka taar taar chale 
maqam 'faiz' koi raah men jacha hi nahin 
jo ku-e-yar se nikle to su-e-dar chale"
301,faiz-ahmad-faiz,"hairan hai jabin aaj kidhar sajda rava hai 
sar par hain khudavand sar-e-arsh khuda hai 
kab tak ise sinchoge tamanna-e-samar men 
ye sabr ka pauda to na phula na phala hai 
milta hai khiraj us ko tiri nan-e-javin se 
har badshah-e-vaqt tire dar ka gada hai 
har ek uqubat se hai talkhi men sava-tar 
vo rang jo na-karda gunahon ki saza hai 
ehsan liye kitne masiha-nafason ke 
kya kijiye dil ka na jala hai na bujha hai"
302,faiz-ahmad-faiz,"ham musafir yunhi masruf-e-safar ja.enge 
be-nishan ho ga.e jab shahr to ghar ja.enge 
kis qadar hoga yahan mehr-o-vafa ka matam 
ham tiri yaad se jis roz utar ja.enge 
jauhari band kiye jaate hain bazar-e-sukhan 
ham kise bechne almas-o-guhar ja.enge 
nemat-e-zist ka ye qarz chukega kaise 
laakh ghabra ke ye kahte rahen mar ja.enge 
shayad apna bhi koi bait hudi-khvan ban kar 
saath ja.ega mire yaar jidhar ja.enge 
'faiz' aate hain rah-e-ishq men jo sakht maqam 
aane valon se kaho ham to guzar ja.enge"
303,faiz-ahmad-faiz,"ham ne sab sher men sanvare the 
ham se jitne sukhan tumhare the 
rang-o-khushbu ke husn-o-khubi ke 
tum se the jitne isti.are the 
tere qaul-o-qarar se pahle 
apne kuchh aur bhi sahare the 
jab vo la.al-o-gohar hisab kiye 
jo tire gham ne dil pe vaare the 
mere daman men aa gire saare 
jitne tasht-e-falak men taare the 
umr-e-javed ki dua karte 
'faiz' itne vo kab hamare the"
304,faiz-ahmad-faiz,"ham par tumhari chaah ka ilzam hi to hai 
dushnam to nahin hai ye ikram hi to hai 
karte hain jis pe ta.an koi jurm to nahin 
shauq-e-fuzul o ulfat-e-nakam hi to hai 
dil mudda.i ke harf-e-malamat se shaad hai 
ai jan-e-jan ye harf tira naam hi to hai 
dil na-umid to nahin nakam hi to hai 
lambi hai gham ki shaam magar shaam hi to hai 
dast-e-falak men gardish-e-taqdir to nahin 
dast-e-falak men gardish-e-ayyam hi to hai 
akhir to ek roz karegi nazar vafa 
vo yar-e-khush-khisal sar-e-bam hi to hai 
bhigi hai raat 'faiz' ghazal ibtida karo 
vaqt-e-sarod dard ka hangam hi to hai"
305,faiz-ahmad-faiz,"hamin se apni nava ham-kalam hoti rahi 
ye tegh apne lahu men niyam hoti rahi 
muqabil-e-saf-e-a.ada jise kiya aghaz 
vo jang apne hi dil men tamam hoti rahi 
koi masiha na ifa-e-ahd ko pahuncha 
bahut talash pas-e-qatl-e-am hoti rahi 
ye barhaman ka karam vo ata-e-shaikh-e-haram 
kabhi hayat kabhi mai haram hoti rahi 
jo kuchh bhi ban na paDa 'faiz' luT ke yaron se 
to rahzanon se dua-o-salam hoti rahi"
306,faiz-ahmad-faiz,"har haqiqat majaz ho jaa.e 
kafiron ki namaz ho jaa.e 
dil rahin-e-niyaz ho jaa.e 
bekasi karsaz ho jaa.e 
minnat-e-chara-saz kaun kare 
dard jab jan-navaz ho jaa.e 
ishq dil men rahe to rusva ho 
lab pe aa.e to raaz ho jaa.e 
lutf ka intizar karta huun 
jaur ta hadd-e-naz ho jaa.e 
umr be-sud kaT rahi hai 'faiz' 
kaash ifsha-e-raz ho jaa.e"
307,faiz-ahmad-faiz,"himmat-e-iltija nahin baaqi 
zabt ka hausla nahin baaqi 
ik tiri diid chhin ga.i mujh se 
varna duniya men kya nahin baaqi 
apni mashq-e-sitam se haath na khinch 
main nahin ya vafa nahin baaqi 
teri chashm-e-alam-navaz ki khair 
dil men koi gila nahin baaqi 
ho chuka khatm ahd-e-hijr-o-visal 
zindagi men maza nahin baaqi"
308,faiz-ahmad-faiz,"ishq minnat-e-kash-e-qarar nahin 
husn majbur-e-intizar nahin 
teri ranjish ki intiha ma.alum 
hasraton ka miri shumar nahin 
apni nazren bikher de saaqi 
mai ba-andaza-e-khumar nahin 
zer-e-lab hai abhi tabassum-e-dost 
muntashir jalva-e-bahar nahin 
apni takmil kar raha huun main 
varna tujh se to mujh ko pyaar nahin 
chara-e-intizar kaun kare 
teri nafrat bhi ustuvar nahin 
'faiz' zinda rahen vo hain to sahi 
kya hua gar vafa-shi.ar nahin"
309,faiz-ahmad-faiz,"kab tak dil ki khair mana.en kab tak rah dikhlaoge 
kab tak chain ki mohlat doge kab tak yaad na aaoge 
biita diid ummid ka mausam khaak uDti hai ankhon men 
kab bhejoge dard ka badal kab barkha barsaoge 
ahd-e-vafa ya tark-e-mohabbat jo chaho so aap karo 
apne bas ki baat hi kya hai ham se kya manvaoge 
kis ne vasl ka suraj dekha kis par hijr ki raat Dhali 
gesuon vaale kaun the kya the un ko kya jatlaoge 
'faiz' dilon ke bhaag men hai ghar bharna bhi luT jaana thi 
tum is husn ke lutf-o-karam par kitne din itraoge"
310,faiz-ahmad-faiz,"kab Thahrega dard ai dil kab raat basar hogi 
sunte the vo a.enge sunte the sahar hogi 
kab jaan lahu hogi kab ashk guhar hoga 
kis din tiri shunva.i ai dida-e-tar hogi 
kab mahkegi fasl-e-gul kab bahkega mai-khana 
kab sub.h-e-sukhan hogi kab sham-e-nazar hogi 
vaa.iz hai na zahid hai naseh hai na qatil hai 
ab shahr men yaron ki kis tarah basar hogi 
kab tak abhi rah dekhen ai qamat-e-janana 
kab hashr muayyan hai tujh ko to khabar hogi"
311,faiz-ahmad-faiz,"kab yaad men tera saath nahin kab haat men tera haat nahin 
sad-shukr ki apni raton men ab hijr ki koi raat nahin 
mushkil hain agar halat vahan dil bech aa.en jaan de aa.en 
dil vaalo kucha-e-janan men kya aise bhi halat nahin 
jis dhaj se koi maqtal men gaya vo shaan salamat rahti hai 
ye jaan to aani jaani hai is jaan ki to koi baat nahin 
maidan-e-vafa darbar nahin yaan nam-o-nasab ki puchh kahan 
ashiq to kisi ka naam nahin kuchh ishq kisi ki zaat nahin 
gar baazi ishq ki baazi hai jo chaho laga do Dar kaisa 
gar jiit ga.e to kya kahna haare bhi to baazi maat nahin"
312,faiz-ahmad-faiz,"kabhi kabhi yaad men ubharte hain naqsh-e-mazi miTe miTe se 
vo azma.ish dil o nazar ki vo qurbaten si vo fasle se 
kabhi kabhi aarzu ke sahra men aa ke rukte hain qafile se 
vo saari baten lagav ki si vo saare unvan visal ke se 
nigah o dil ko qarar kaisa nashat o gham men kami kahan ki 
vo jab mile hain to un se har baar ki hai ulfat na.e sire se 
bahut giran hai ye aish-e-tanha kahin subuk-tar kahin gavara 
vo dard-e-pinhan ki saari duniya rafiq thi jis ke vaste se 
tumhin kaho rind o mohtasib men hai aaj shab kaun farq aisa 
ye aa ke baiThe hain mai-kade men vo uTh ke aa.e hain mai-kade se"
313,faiz-ahmad-faiz,"kuchh mohtasibon ki khalvat men kuchh vaa.iz ke ghar jaati hai 
ham bada-kashon ke hisse ki ab jaam men kam-tar jaati hai 
yuun arz-o-talab se kam ai dil patthar dil paani hote hain 
tum laakh raza ki khu Daalo kab khu-e-sitamgar jaati hai 
bedad-garon ki basti hai yaan daad kahan khairat kahan 
sar phoDti phirti hai nadan fariyad jo dar dar jaati hai 
haan jaan ke ziyan ki ham ko bhi tashvish hai lekin kya kiije 
har rah jo udhar ko jaati hai maqtal se guzar kar jaati hai 
ab kucha-e-dil-bar ka rah-rau rahzan bhi bane to baat bane 
pahre se adu Talte hi nahin aur raat barabar jaati hai 
ham ahl-e-qafas tanha bhi nahin har roz nasim-e-sub.h-e-vatan 
yadon se mo.attar aati hai ashkon se munavvar jaati hai"
314,faiz-ahmad-faiz,"kuchh pahle in ankhon aage kya kya na nazara guzre tha 
kya raushan ho jaati thi gali jab yaar hamara guzre tha 
the kitne achchhe log ki jin ko apne gham se fursat thi 
sab puchhen the ahval jo koi dard ka maara guzre tha 
ab ke khizan aisi Thahri vo saare zamane bhuul ga.e 
jab mausam-e-gul har phere men aa aa ke dobara guzre tha 
thi yaron ki bohtat to ham aghyar se bhi bezar na the 
jab mil baiThe to dushman ka bhi saath gavara guzre tha 
ab to haath sujha.i na deve lekin ab se pahle to 
aankh uThte hi ek nazar men aalam saara guzre tha"
315,faiz-ahmad-faiz,"na ab raqib na naseh na gham-gusar koi 
tum ashna the to thiin ashna.iyan kya kya 
juda the ham to mayassar thiin qurbaten kitni 
baham hue to paDi hain juda.iyan kya kya 
pahunch ke dar pe tire kitne mo'tabar Thahre 
agarche rah men huiin jag-hansa.iyan kya kya 
ham aise sada-dilon ki niyaz-mandi se 
buton ne ki hain jahan men khuda.iyan kya kya 
sitam pe khush kabhi lutf-o-karam se ranjida 
sikha.in tum ne hamen kaj-ada.iyan kya kya"
316,faiz-ahmad-faiz,"na ganvao navak-e-nim-kash dil-e-reza-reza ganva diya 
jo bache hain sang sameT lo tan-e-dagh-dagh luTa diya 
mire chara-gar ko naved ho saf-e-dushmanan ko khabar karo 
jo vo qarz rakhte the jaan par vo hisab aaj chuka diya 
karo kaj jabin pe sar-e-kafan mire qatilon ko guman na ho 
ki ghurur-e-ishq ka bankpan pas-e-marg ham ne bhula diya 
udhar ek harf ki kushtani yahan laakh uzr tha guftani 
jo kaha to sun ke uDa diya jo likha to paDh ke miTa diya 
jo ruke to koh-e-giran the ham jo chale to jaan se guzar ga.e 
rah-e-yar ham ne qadam qadam tujhe yadgar bana diya"
317,faiz-ahmad-faiz,"nahin nigah men manzil to justuju hi sahi 
nahin visal mayassar to aarzu hi sahi 
na tan men khuun faraham na ashk ankhon men 
namaz-e-shauq to vajib hai be-vazu hi sahi 
kisi tarah to jame bazm mai-kade vaalo 
nahin jo bada-o-saghar to hav-hu hi sahi 
gar intizar kaThin hai to jab talak ai dil 
kisi ke vada-e-farda ki guftugu hi sahi 
dayar-e-ghair men mahram agar nahin koi 
to 'faiz' zikr-e-vatan apne ru-ba-ru hi sahi"
318,faiz-ahmad-faiz,"nasib azmane ke din aa rahe hain 
qarib un ke aane ke din aa rahe hain 
jo dil se kaha hai jo dil se suna hai 
sab un ko sunane ke din aa rahe hain 
abhi se dil o jaan sar-e-rah rakh do 
ki luTne luTane ke din aa rahe hain 
Tapakne lagi un nigahon se masti 
nigahen churane ke din aa rahe hain 
saba phir hamen puchhti phir rahi hai 
chaman ko sajane ke din aa rahe hain 
chalo 'faiz' phir se kahin dil laga.en 
suna hai Thikane ke din aa rahe hain"
319,faiz-ahmad-faiz,"phir harif-e-bahar ho baiThe 
jaane kis kis ko aaj ro baiThe 
thi magar itni ra.egan bhi na thi 
aaj kuchh zindagi se kho baiThe 
tere dar tak pahunch ke lauT aa.e 
ishq ki aabru Dubo baiThe 
saari duniya se duur ho jaa.e 
jo zara tere paas ho baiThe 
na ga.i teri be-rukhi na ga.i 
ham tiri aarzu bhi kho baiThe 
'faiz' hota rahe jo hona hai 
sher likhte raha karo baiThe"
320,faiz-ahmad-faiz,"qarz-e-nigah-e-yar ada kar chuke hain ham 
sab kuchh nisar-e-rah-e-vafa kar chuke hain ham 
kuchh imtihan-e-dast-e-jafa kar chuke hain ham 
kuchh un ki dastaras ka pata kar chuke hain ham 
ab ehtiyat ki koi surat nahin rahi 
qatil se rasm-o-rah siva kar chuke hain ham 
dekhen hai kaun kaun zarurat nahin rahi 
ku-e-sitam men sab ko khafa kar chuke hain ham 
ab apna ikhtiyar hai chahe jahan chalen 
rahbar se apni raah juda kar chuke hain ham 
un ki nazar men kya karen phika hai ab bhi rang 
jitna lahu tha sarf-e-qaba kar chuke hain ham 
kuchh apne dil ki khu ka bhi shukrana chahiye 
sau baar un ki khu ka gila kar chuke hain ham"
321,faiz-ahmad-faiz,"raz-e-ulfat chhupa ke dekh liya 
dil bahut kuchh jala ke dekh liya 
aur kya dekhne ko baaqi hai 
aap se dil laga ke dekh liya 
vo mire ho ke bhi mire na hue 
un ko apna bana ke dekh liya 
aaj un ki nazar men kuchh ham ne 
sab ki nazren bacha ke dekh liya 
'faiz' takmil-e-gham bhi ho na saki 
ishq ko aazma ke dekh liya"
322,faiz-ahmad-faiz,"rang pairahan ka khushbu zulf lahrane ka naam 
mausam-e-gul hai tumhare baam par aane ka naam 
dosto us chashm o lab ki kuchh kaho jis ke baghair 
gulsitan ki baat rangin hai na mai-khane ka naam 
phir nazar men phuul mahke dil men phir sham.en jalin 
phir tasavvur ne liya us bazm men jaane ka naam 
dilbari Thahra zaban-e-khalq khulvane ka naam 
ab nahin lete pari-ru zulf bikhrane ka naam 
ab kisi laila ko bhi iqrar-e-mahbubi nahin 
in dinon badnam hai har ek divane ka naam 
mohtasib ki khair uncha hai usi ke faiz se 
rind ka saaqi ka mai ka khum ka paimane ka naam 
ham se kahte hain chaman vaale ghariban-e-chaman 
tum koi achchha sa rakh lo apne virane ka naam 
'faiz' un ko hai taqaza-e-vafa ham se jinhen 
ashna ke naam se pyara hai begane ka naam"
323,faiz-ahmad-faiz,"sab qatl ho ke tere muqabil se aa.e hain 
ham log surkh-ru hain ki manzil se aa.e hain 
sham-e-nazar khayal ke anjum jigar ke daagh 
jitne charagh hain tiri mahfil se aa.e hain 
uTh kar to aa ga.e hain tiri bazm se magar 
kuchh dil hi janta hai ki kis dil se aa.e hain 
har ik qadam ajal tha har ik gaam zindagi 
ham ghuum phir ke kucha-e-qatil se aa.e hain 
bad-e-khizan ka shukr karo 'faiz' jis ke haath 
naame kisi bahar-e-shima.il se aa.e hain"
324,faiz-ahmad-faiz,"sabhi kuchh hai tera diya hua sabhi rahaten sabhi kulfaten 
kabhi sohbaten kabhi furqaten kabhi duriyan kabhi qurbaten 
ye sukhan jo ham ne raqam kiye ye hain sab varaq tiri yaad ke 
koi lamha sub.h-e-visal ka koi sham-e-hijr ki muddaten 
jo tumhari maan len naseha to rahega daman-e-dil men kya 
na kisi adu ki adavaten na kisi sanam ki muravvaten 
chalo aao tum ko dikha.en ham jo bacha hai maqtal-e-shahr men 
ye mazar ahl-e-safa ke hain ye hain ahl-e-sidq ki turbaten 
miri jaan aaj ka gham na kar ki na jaane katib-e-vaqt ne 
kisi apne kal men bhi bhuul kar kahin likh rakhi hon masarraten"
325,faiz-ahmad-faiz,"sham-e-firaq ab na puchh aa.i aur aa ke Tal ga.i 
dil tha ki phir bahal gaya jaan thi ki phir sambhal ga.i 
bazm-e-khayal men tire husn ki sham.a jal ga.i 
dard ka chand bujh gaya hijr ki raat Dhal ga.i 
jab tujhe yaad kar liya sub.h mahak mahak uThi 
jab tira gham jaga liya raat machal machal ga.i 
dil se to har mo.amla kar ke chale the saaf ham 
kahne men un ke samne baat badal badal ga.i 
akhir-e-shab ke ham-safar 'faiz' na jaane kya hue 
rah ga.i kis jagah saba sub.h kidhar nikal ga.i"
